City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
35,Barrow,US,5/13/2020 19:42,71.29,-156.79,19.4,85,1,20.8
36,Okhotsk,RU,5/13/2020 19:42,59.38,143.3,34.3,92,100,7.74
37,Taihe,CN,5/13/2020 19:42,30.87,105.38,65.21,85,100,0.76
38,Palmer,US,5/13/2020 19:42,42.16,-72.33,59,22,20,12.75
39,Punta Arenas,CL,5/13/2020 19:42,-53.15,-70.92,44.6,75,75,9.17
40,Suzaka,JP,5/13/2020 19:42,36.65,138.32,46.99,75,0,2.44
41,Geraldton,AU,5/13/2020 19:42,-28.77,114.6,57.2,54,0,5.82
42,Hermanus,ZA,5/13/2020 19:42,-34.42,19.23,55.99,93,2,6.91
43,Buala,SB,5/13/2020 19:42,-8.14,159.59,81.34,80,100,7.2
44,Kyzyl-Suu,KG,5/13/2020 19:42,42.34,78,53.91,68,100,1.34
45,Naze,JP,5/13/2020 19:38,28.37,129.48,62.6,82,100,3.36
46,Santa,PH,5/13/2020 19:42,17.49,120.43,81.28,72,100,3.91
47,Ponta Do Sol,PT,5/13/2020 19:42,32.67,-17.1,66.2,45,20,11.41
48,Nanortalik,GL,5/13/2020 19:42,60.14,-45.24,40.12,92,100,5.97
49,Isangel,VU,5/13/2020 19:42,-19.55,169.27,71.67,73,48,10.25
50,Vicuna,CL,5/13/2020 19:42,-30.03,-70.71,62.6,67,32,11.41
51,Saskylakh,RU,5/13/2020 19:42,71.92,114.08,29.19,98,100,5.86
52,Yellowknife,CA,5/13/2020 19:40,62.46,-114.35,26.6,49,75,4.7
53,Bonnyville,CA,5/13/2020 19:42,54.27,-110.73,57.2,26,75,11.41
54,Zhigansk,RU,5/13/2020 19:38,66.77,123.37,26.26,97,100,7.16
55,Saint-Joseph,RE,5/13/2020 19:42,-21.37,55.62,69.8,73,48,3.36
56,Kismayo,SO,5/13/2020 19:42,-0.36,42.55,82,79,100,13.27
57,Colares,PT,5/13/2020 19:42,38.8,-9.45,61,76,2,11.77
58,Egvekinot,RU,5/13/2020 19:42,66.32,-179.17,25.57,96,55,12.37
59,Jamestown,US,5/13/2020 19:42,42.1,-79.24,52,27,1,5.82
60,Lebu,CL,5/13/2020 19:42,-37.62,-73.65,56.84,75,48,10.71
61,Hithadhoo,MV,5/13/2020 19:42,-0.6,73.08,84.36,76,100,11.5
62,Port Elizabeth,ZA,5/13/2020 19:42,-33.92,25.57,60.8,87,1,18.34
63,Labuhan,ID,5/13/2020 19:42,-6.88,112.21,77.47,87,88,6.4
64,Christchurch,NZ,5/13/2020 19:42,-43.53,172.63,46.99,100,90,3.36
65,Vila Franca Do Campo,PT,5/13/2020 19:42,37.72,-25.43,59,58,40,14.99
66,Vaini,TO,5/13/2020 19:42,-21.2,-175.2,73.4,100,75,3.36
67,Baruun-Urt,MN,5/13/2020 19:42,46.68,113.28,50.5,51,41,12.17
68,Colorado,BR,5/13/2020 19:42,-22.84,-51.97,69.01,99,84,1.99
69,Mahebourg,MU,5/13/2020 19:38,-20.41,57.7,73.4,69,40,6.93
70,Hazorasp,UZ,5/13/2020 19:42,41.32,61.07,59,77,51,4.7
71,Suntar,RU,5/13/2020 19:42,62.14,117.63,28.38,98,18,3.89
72,Arraial Do Cabo,BR,5/13/2020 19:41,-22.97,-42.03,82.4,58,75,10.29
73,Karatau,KZ,5/13/2020 19:42,43.17,70.47,62.4,78,100,11.01
74,Garoua Boulai,CM,5/13/2020 19:42,5.88,14.55,67.46,94,100,0.54
75,Lavrentiya,RU,5/13/2020 19:42,65.58,-171,33.78,93,96,4.25
76,Warren,US,5/13/2020 19:42,39.43,-84.17,60.8,41,90,14.99
77,Salalah,OM,5/13/2020 19:42,17.02,54.09,84.2,83,0,3.36
78,Horadiz,AZ,5/13/2020 19:43,39.45,47.34,64.4,82,40,6.93
79,Sao Gabriel Da Cachoeira,BR,5/13/2020 19:43,-0.13,-67.09,77.11,89,99,1.36
80,Cayenne,GF,5/13/2020 19:43,4.93,-52.33,82.4,74,75,12.75
81,Mikkeli,FI,5/13/2020 19:43,61.69,27.27,39.99,76,100,4.7
82,Bandundu,CD,5/13/2020 19:43,-3.32,17.37,74.1,89,82,0.54
83,Xinzhou,CN,5/13/2020 19:43,38.41,112.73,60.04,46,20,7.18
84,Kruisfontein,ZA,5/13/2020 19:43,-34,24.73,56.84,89,0,11.12
85,Lensk,RU,5/13/2020 19:43,60.73,114.93,29.61,97,13,2.44
86,Yulara,AU,5/13/2020 19:43,-25.24,130.99,48.2,36,0,10.29
87,Cabo San Lucas,MX,5/13/2020 19:39,22.89,-109.91,89.6,20,5,8.05
88,Hobart,AU,5/13/2020 19:43,-42.88,147.33,48.99,66,40,8.05
89,Laguna,US,5/13/2020 19:38,38.42,-121.42,68,55,100,1.99
90,Luorong,CN,5/13/2020 19:43,24.41,109.61,76.1,87,77,7.83
91,Waikuku,NZ,5/13/2020 19:43,-43.3,172.68,46.99,100,90,3.36
92,Panaba,MX,5/13/2020 19:43,21.28,-88.27,91.49,51,8,9.66
