,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
78,Avarua,CK,-21.2078,-159.775,75.25,88,100,9.22,overcast clouds
79,Port Lincoln,AU,-34.7333,135.8667,69.08,52,41,11.36,scattered clouds
80,Sambava,MG,-14.2667,50.1667,69.64,79,31,8.25,scattered clouds
81,North Bend,US,43.4065,-124.2243,59.92,99,100,13.8,mist
82,Provideniya,RU,64.3833,-173.3,35.71,93,100,11.18,fog
83,Lima,PE,-12.0432,-77.0282,59.9,85,100,8.05,overcast clouds
84,Da Nang,VN,16.0678,108.2208,85.98,62,40,6.91,scattered clouds
85,Bismarck,US,46.8083,-100.7837,63.81,55,0,17.27,clear sky
86,Ribeira Grande,PT,38.5167,-28.7,65.77,63,23,13.67,few clouds
87,Mont-De-Marsan,FR,44.0,-0.6667,68.79,85,99,0.0,overcast clouds
88,Baringo,KE,0.4667,35.9667,69.84,55,78,4.12,broken clouds
89,Saldanha,ZA,-33.0117,17.9442,53.65,82,48,17.98,scattered clouds
90,Dumas,US,35.8656,-101.9732,58.53,38,0,11.5,clear sky
91,Tarazona,ES,41.9,-1.7333,62.42,69,100,10.94,overcast clouds
92,Huanren,CN,41.2647,125.3667,59.72,64,68,8.28,broken clouds
93,Medford,US,42.3265,-122.8756,66.78,51,95,1.54,overcast clouds
94,Norman Wells,CA,65.282,-126.8329,23.04,93,100,5.75,overcast clouds
95,Ancud,CL,-41.8697,-73.8203,40.23,85,9,6.62,clear sky
96,Atbasar,KZ,51.8,68.3333,52.61,39,100,16.8,overcast clouds
97,Mount Isa,AU,-20.7333,139.5,89.98,20,0,11.61,clear sky
98,East London,ZA,-33.0153,27.9116,63.54,94,20,2.3,few clouds
99,Abalak,RU,58.1286,68.5944,37.36,67,24,11.97,few clouds
100,Barrow,US,71.2906,-156.7887,28.42,86,100,24.16,light snow
101,Port Alfred,ZA,-33.5906,26.891,62.19,97,56,4.79,broken clouds
102,Clyde River,CA,70.4692,-68.5914,21.43,79,100,14.97,overcast clouds
103,Omboue,GA,-1.5746,9.2618,74.88,90,78,5.59,broken clouds
104,Dhidhdhoo,MV,6.8833,73.1,81.23,80,89,13.44,heavy intensity rain
105,Nanortalik,GL,60.1432,-45.2371,38.41,64,100,5.7,overcast clouds
106,Primorsk,UA,46.7348,36.3443,45.73,79,78,13.0,broken clouds
107,Mayskiy,RU,47.6931,40.1025,44.01,88,100,18.99,overcast clouds
108,Urengoy,RU,65.9667,78.3667,35.96,82,100,16.49,overcast clouds
109,Dikson,RU,73.5069,80.5464,31.89,95,100,10.69,overcast clouds
110,Bethel,US,41.3712,-73.414,53.91,80,0,0.0,clear sky
111,Whitecourt,CA,54.1502,-115.6855,42.04,52,75,8.05,broken clouds
112,Flagstaff,US,35.1981,-111.6513,53.26,64,0,0.0,clear sky
113,Finnsnes,NO,69.2296,17.9811,36.75,99,100,3.94,overcast clouds
114,Siparia,TT,10.1333,-61.5,75.81,95,47,7.61,scattered clouds
115,Jalu,LY,29.0331,21.5482,66.04,63,57,4.74,broken clouds
116,New Norfolk,AU,-42.7826,147.0587,76.91,56,100,9.08,overcast clouds
117,Cardiff,GB,51.48,-3.18,61.05,90,75,17.27,broken clouds
118,Codrington,AU,-38.2667,141.9667,65.21,88,96,8.7,moderate rain
119,Awbari,LY,26.5921,12.7805,60.58,65,5,5.79,clear sky
120,Nikolskoye,RU,59.7035,30.7861,40.91,97,100,3.27,overcast clouds
121,Umba,RU,66.6871,34.3429,32.49,67,4,10.33,clear sky
122,Tiksi,RU,71.6872,128.8694,3.7,93,9,8.95,clear sky
123,Lata,PT,40.1629,-8.3327,59.07,96,100,5.46,overcast clouds
124,Georgetown,MY,5.4112,100.3354,89.53,69,20,6.91,few clouds
125,San Patricio,US,28.017,-97.5169,73.26,63,0,9.4,clear sky
126,Havre-Saint-Pierre,CA,50.2334,-63.5986,46.4,93,75,2.3,broken clouds
127,Tyret Pervaya,RU,53.6703,102.3106,40.8,52,63,8.86,broken clouds
128,Hofn,IS,64.2539,-15.2082,41.81,71,100,13.65,overcast clouds
129,Marfino,RU,55.7028,37.3822,36.09,86,100,6.71,overcast clouds
130,Rawah,IQ,34.4816,41.9093,72.64,41,36,4.25,scattered clouds
131,Samsun,TR,41.25,36.3333,50.76,97,40,9.22,scattered clouds
132,Itoman,JP,26.1247,127.6694,84.22,72,20,21.85,few clouds
