,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
342,Yerbogachen,RU,61.2767,108.0108,32.5,64,100,6.22,overcast clouds
343,Kutum,SD,14.2,24.6667,71.65,27,70,8.1,broken clouds
344,San Francisco,US,37.7749,-122.4194,66.07,87,20,14.97,few clouds
345,Muros,ES,42.7762,-9.0603,61.84,80,72,21.74,broken clouds
346,Saint Anthony,US,45.0205,-93.218,51.93,61,0,9.22,clear sky
347,Buraydah,SA,26.326,43.975,63.05,14,0,9.04,clear sky
348,San Cristobal,VE,7.7669,-72.225,69.98,92,100,1.34,overcast clouds
349,Ambulu,ID,-8.345,113.6058,84.81,72,100,5.46,overcast clouds
350,Mahanoro,MG,-19.9,48.8,74.62,71,85,5.41,overcast clouds
351,Havoysund,NO,70.9963,24.6622,34.03,63,97,5.97,overcast clouds
352,Guantanamo,CU,20.1444,-75.2092,80.17,89,90,3.31,overcast clouds
353,Izhma,RU,65.0083,53.9113,30.85,93,100,9.22,light snow
354,Oistins,BB,13.0667,-59.5333,80.06,80,9,7.36,clear sky
355,Kipini,KE,-2.5257,40.5262,77.29,70,95,13.76,overcast clouds
356,Ketchikan,US,55.3422,-131.6461,46.87,93,100,0.0,overcast clouds
357,Xam Nua,LA,20.4197,104.0439,72.86,72,93,3.18,overcast clouds
358,Port-Gentil,GA,-0.7193,8.7815,77.79,85,69,10.98,light rain
359,Fort-Shevchenko,KZ,44.5086,50.263,57.87,82,100,24.94,overcast clouds
360,Dolores,AR,-36.3132,-57.6792,56.8,98,96,6.33,overcast clouds
361,Vila Velha,BR,-20.3297,-40.2925,75.15,89,75,8.05,broken clouds
362,Leningradskiy,RU,69.3833,178.4167,30.16,95,100,6.89,overcast clouds
363,Vao,NC,-22.6667,167.4833,71.33,65,100,19.28,overcast clouds
364,Tura,IN,25.5198,90.2201,83.26,51,0,4.0,clear sky
365,Tessalit,ML,20.1986,1.0114,74.37,23,29,11.05,scattered clouds
366,Pangnirtung,CA,66.1451,-65.7125,28.08,94,100,10.83,snow
367,Ewa Beach,US,21.3156,-158.0072,80.55,72,75,10.36,broken clouds
368,Calvinia,ZA,-31.4707,19.776,67.78,44,60,4.7,broken clouds
369,Beloha,MG,-25.1667,45.05,81.54,47,0,6.78,clear sky
370,Tezu,IN,27.9167,96.1667,84.4,39,0,3.62,clear sky
371,Rosarito,MX,32.3333,-117.0333,72.41,61,45,1.5,scattered clouds
372,Bozeman,US,45.6796,-111.0386,60.22,35,20,6.91,few clouds
373,Bure,ET,10.7,37.0667,59.36,88,90,2.53,overcast clouds
374,Winnemucca,US,40.973,-117.7357,46.45,27,0,4.61,clear sky
375,Byron Bay,AU,-28.65,153.6167,71.71,84,95,16.35,light rain
376,Alice Springs,AU,-23.7,133.8833,89.15,40,0,3.44,clear sky
377,Lagunillas,VE,10.1301,-71.2595,77.36,88,3,5.95,clear sky
378,Kijang,KR,35.2442,129.2139,73.13,39,97,12.28,overcast clouds
379,Salto,UY,-31.3833,-57.9667,61.88,100,100,3.0,moderate rain
380,Oranjemund,NA,-28.55,16.4333,59.34,86,85,17.43,overcast clouds
381,Shablykino,RU,52.8566,35.1964,32.29,93,7,5.95,clear sky
382,Warrnambool,AU,-38.3833,142.4833,64.22,91,100,8.12,overcast clouds
383,Lino Lakes,US,45.1602,-93.0888,52.11,63,0,9.22,clear sky
384,Miramar,US,25.9873,-80.2323,71.02,75,75,14.97,broken clouds
385,College,US,64.8569,-147.8028,34.81,92,75,5.75,light rain
386,Yoichi,JP,43.2039,140.7703,61.99,63,84,9.82,broken clouds
387,Fallon,US,39.4735,-118.7774,57.07,26,20,5.75,few clouds
388,Bundaberg,AU,-24.85,152.35,79.21,81,40,7.0,scattered clouds
389,Ayr,GB,55.4627,-4.6339,52.32,93,75,4.61,broken clouds
390,Fort Nelson,CA,58.8053,-122.7002,47.79,37,75,9.22,broken clouds
391,Tandalti,SD,13.0167,31.8667,81.99,53,17,5.57,few clouds
392,Sur,OM,22.5667,59.5289,86.58,32,0,3.04,clear sky
393,Quatre Cocos,MU,-20.2078,57.7625,75.09,73,38,12.01,scattered clouds
394,Olafsvik,IS,64.8945,-23.7142,39.94,78,87,19.75,overcast clouds
395,Nosy Varika,MG,-20.5833,48.5333,73.58,75,82,5.59,broken clouds
396,Port Hardy,CA,50.6996,-127.4199,48.38,87,75,8.05,broken clouds
397,Saurimo,AO,-9.6608,20.3916,65.52,83,99,2.86,overcast clouds
398,Nara,JP,34.6851,135.8049,73.49,31,32,4.85,scattered clouds
399,Barao De Melgaco,BR,-16.1944,-55.9675,74.41,88,99,3.74,overcast clouds
400,Vaitape,PF,-16.5167,-151.75,78.55,78,91,14.18,light rain
401,Mawlaik,MM,23.6333,94.4167,89.28,48,0,2.98,clear sky
402,Bengkulu,ID,-3.8004,102.2655,80.74,78,100,6.49,light rain
403,Moerai,PF,-22.4333,-151.3333,73.18,83,5,19.57,clear sky
404,Ahtopol,BG,42.1,27.95,52.02,64,6,5.53,clear sky
405,Susanville,US,40.4163,-120.653,51.64,30,0,6.91,clear sky
406,Hami,CN,42.8,93.45,57.49,27,4,4.74,clear sky
407,Khandyga,RU,62.6667,135.6,17.29,82,100,2.04,overcast clouds
408,Verkhnevilyuysk,RU,63.4453,120.3167,28.31,87,92,8.23,overcast clouds
409,Srednekolymsk,RU,67.45,153.6833,15.85,95,100,14.14,light snow
410,Pontianak,ID,-0.0333,109.3333,87.78,70,40,5.75,scattered clouds
411,Sterling,US,39.0062,-77.4286,48.25,73,100,3.44,overcast clouds
412,Adria,IT,45.0564,12.0578,59.05,82,100,3.78,overcast clouds
413,Karratha,AU,-20.7377,116.8463,87.24,45,3,18.92,clear sky
414,Tokmak,UA,47.2514,35.7058,45.7,72,89,12.5,overcast clouds
415,Severo-Kurilsk,RU,50.6789,156.125,41.77,84,99,11.5,light rain
416,Gat,IL,31.61,34.7642,70.48,100,73,5.39,broken clouds
417,Bongandanga,CD,1.5,21.05,68.34,99,98,2.3,overcast clouds
418,Copiapo,CL,-27.3667,-70.3333,51.49,60,0,0.54,clear sky
419,Indiaroba,BR,-11.5192,-37.5117,71.11,87,24,3.09,few clouds
420,Alekseyevsk,RU,57.8406,108.3492,36.43,70,100,5.3,overcast clouds
421,Port Hedland,AU,-20.3167,118.5667,93.25,40,2,18.41,clear sky
422,Makungu,TZ,-8.7333,35.2833,62.73,67,99,8.39,overcast clouds
423,Domoni,KM,-12.2569,44.5319,77.99,66,84,5.93,broken clouds
424,Coldstream,GB,55.6511,-2.2529,52.18,96,99,2.93,overcast clouds
425,Deer Lake,CA,49.1667,-57.4316,42.66,100,20,6.91,few clouds
426,Aldan,RU,58.6031,125.3894,27.43,93,100,7.92,light snow
427,Jiblah,YE,13.9216,44.1467,65.43,37,2,3.15,clear sky
428,Broken Hill,AU,-31.95,141.4333,73.72,51,66,11.99,broken clouds
429,Sistranda,NO,63.7256,8.834,37.36,75,6,19.19,clear sky
430,Venezuela,VE,8.0,-66.0,79.84,72,55,11.3,broken clouds
431,Keetmanshoop,NA,-26.5833,18.1333,79.45,36,96,6.08,light rain
432,Tsiroanomandidy,MG,-18.7667,46.0333,73.4,54,98,5.55,overcast clouds
433,Southbridge,US,42.0751,-72.0334,45.52,89,0,3.0,clear sky
434,Mazatlan,MX,23.2167,-106.4167,83.01,89,0,3.0,clear sky
435,Mahon,ES,39.8885,4.2658,72.16,94,0,8.05,clear sky
436,Porto Empedocle,IT,37.2934,13.5264,65.55,85,0,5.55,clear sky
437,Faanui,PF,-16.4833,-151.75,78.55,78,93,14.2,light rain
438,Mount Gambier,AU,-37.8333,140.7667,62.51,94,75,11.5,moderate rain
439,Tskneti,GE,41.6939,44.6937,47.7,67,100,10.92,overcast clouds
440,Puerto Escondido,MX,15.85,-97.0667,77.18,78,100,3.96,overcast clouds
441,Hamilton,US,39.1834,-84.5333,46.89,50,0,9.22,clear sky
442,San Lawrenz,MT,36.0553,14.204,64.85,85,0,2.8,clear sky
443,Nkhotakota,MW,-12.9274,34.2961,78.17,50,70,8.34,broken clouds
444,Bereda,ES,43.2686,-7.5406,55.42,98,94,11.68,overcast clouds
445,Ajdabiya,LY,30.7554,20.2263,65.03,71,1,8.08,clear sky
446,Erzin,TR,36.9559,36.2,67.77,78,23,0.22,few clouds
447,Garowe,SO,8.4054,48.4845,78.3,67,23,10.78,few clouds
448,Buala,SB,-8.145,159.5921,84.54,70,98,5.39,light rain
449,Ellensburg,US,46.9965,-120.5479,59.18,76,0,15.01,clear sky
450,Pitimbu,BR,-7.4706,-34.8086,81.19,70,35,13.35,scattered clouds
451,Pasighat,IN,28.0667,95.3333,83.82,43,0,3.58,clear sky
452,Forestville,US,38.8451,-76.875,49.35,78,0,6.91,clear sky
453,Korla,CN,41.7597,86.1469,57.58,29,0,7.78,clear sky
454,Jalingo,NG,8.8833,11.3667,73.29,83,84,1.66,broken clouds
455,Vung Tau,VN,10.346,107.0843,83.66,71,78,13.18,broken clouds
456,Teya,RU,60.3778,92.6267,38.32,72,99,5.32,overcast clouds
457,Stabat,ID,3.761,98.4513,89.8,57,100,2.59,overcast clouds
458,Ixtapa,MX,20.7,-105.2,81.63,83,20,3.44,few clouds
459,Bonnyville,CA,54.2668,-110.735,48.0,48,6,9.01,clear sky
460,Katakwi,UG,1.8911,33.9661,71.67,72,99,4.16,overcast clouds
461,Taunsa,PK,30.7048,70.6505,83.28,27,0,7.25,clear sky
462,Gore,NZ,-46.1028,168.9436,52.81,45,72,7.05,broken clouds
463,Skjervoy,NO,70.0311,20.9714,32.0,70,100,13.85,overcast clouds
464,Maceio,BR,-9.6658,-35.7353,69.24,94,0,3.44,clear sky
465,Okha,RU,53.5739,142.9478,36.86,61,92,17.05,light rain
466,Kimbe,PG,-5.5502,150.1429,89.22,58,87,8.1,overcast clouds
467,Ariano Irpino,IT,41.1489,15.0833,53.55,58,7,3.06,clear sky
468,Cameta,BR,-2.2444,-49.4958,77.65,87,20,6.46,few clouds
469,San Felipe,VE,10.3399,-68.7425,71.13,98,19,0.65,few clouds
470,Dourbali,TD,11.8091,15.8632,81.73,27,89,5.95,overcast clouds
471,Nome,US,64.5011,-165.4064,39.27,87,75,11.5,light rain
472,Mahibadhoo,MV,3.7833,72.9667,81.93,73,93,14.47,overcast clouds
473,Esmeraldas,BR,-19.7625,-44.3139,70.66,81,61,7.61,broken clouds
474,Vikhorevka,RU,56.1201,101.1636,38.79,58,100,7.16,overcast clouds
475,Vestmannaeyjar,IS,63.4427,-20.2734,45.59,81,100,16.11,overcast clouds
476,Moron,AR,-34.6534,-58.6198,65.97,94,100,1.54,overcast clouds
477,Salalah,OM,17.0151,54.0924,78.89,57,0,2.3,clear sky
478,Kawalu,ID,-7.3817,108.2082,81.82,78,100,2.95,overcast clouds
479,Kieta,PG,-6.2167,155.6333,82.13,80,78,1.74,moderate rain
480,Dvinskoy,RU,62.1535,45.1175,31.21,69,63,13.87,broken clouds
481,Andover,GB,51.2083,-1.4825,59.52,97,100,11.5,overcast clouds
482,Voskevan,AM,41.1202,45.0653,48.79,87,96,4.25,overcast clouds
483,Pinega,RU,64.7001,43.3936,30.15,81,66,9.98,broken clouds
484,Zhigansk,RU,66.7697,123.3711,21.43,93,98,6.4,overcast clouds
485,The Pas,CA,53.8251,-101.2541,50.02,57,40,13.8,scattered clouds
486,Naples,IT,40.8333,14.25,67.14,71,0,2.3,clear sky
487,Calabozo,VE,8.9242,-67.4293,75.99,84,71,4.38,broken clouds
488,Biak,ID,-0.9131,122.8766,85.55,61,71,2.91,broken clouds
489,Ipixuna,BR,-1.7625,-48.8043,74.26,91,5,3.74,clear sky
490,Half Moon Bay,US,37.4636,-122.4286,64.62,86,100,14.97,mist
491,Revda,RU,56.801,59.9303,34.48,76,36,9.89,scattered clouds
492,Black River,JM,18.0264,-77.8487,77.16,84,94,3.24,overcast clouds
493,Bambanglipuro,ID,-7.95,110.2833,82.13,78,99,6.29,overcast clouds
494,Manjakandriana,MG,-18.9167,47.8,64.09,72,96,7.36,overcast clouds
495,Asau,RO,46.4333,26.4,23.92,79,0,2.57,clear sky
496,Ca Mau,VN,9.1769,105.15,85.17,74,96,10.94,light rain
497,Northam,GB,51.0333,-4.2167,59.4,94,87,21.92,overcast clouds
498,Martigny,CH,46.0833,7.0833,60.42,94,100,8.25,light rain
499,Grindavik,IS,63.8424,-22.4338,37.87,81,0,10.36,clear sky
500,Unity,CA,52.4501,-109.1682,44.8,50,0,12.39,clear sky
501,Rodrigues Alves,BR,-7.738,-72.6509,72.28,95,99,1.7,overcast clouds
502,Miles City,US,46.4083,-105.8406,58.17,35,20,10.36,few clouds
503,Sedalia,US,38.7045,-93.2283,58.91,38,0,11.5,clear sky
504,Sao Joao Do Piaui,BR,-8.3581,-42.2467,80.71,44,13,9.31,few clouds
505,Vanavara,RU,60.34,102.2797,33.84,73,88,6.42,overcast clouds
506,Yola,NG,9.2,12.4833,74.12,77,64,1.83,broken clouds
507,Egvekinot,RU,66.3167,-179.1667,27.39,97,100,6.55,light snow
508,Pietarsaari,FI,63.65,22.6833,37.89,89,100,4.23,overcast clouds
509,Lavrentiya,RU,65.5833,-171.0,34.12,99,100,8.05,light snow
510,Bilibino,RU,68.0546,166.4372,7.92,97,92,2.01,overcast clouds
511,Salair,RU,54.2312,85.7972,39.52,92,100,7.23,light rain
512,Labuhan,ID,-6.8844,112.2051,85.98,66,100,6.53,light rain
513,Roblin,CA,51.23,-101.3565,45.97,73,67,15.17,broken clouds
514,Kolondieba,ML,11.0882,-6.8926,74.19,69,80,4.29,broken clouds
515,La Romana,DO,18.4273,-68.9728,75.96,88,5,5.86,clear sky
516,Mezen,RU,65.8522,44.24,31.68,89,49,12.33,scattered clouds
517,Micheweni,TZ,-4.9667,39.8333,77.7,71,76,8.03,broken clouds
518,Le Port,RE,-20.9373,55.2919,75.2,69,3,3.47,clear sky
519,Mnogovershinnyy,RU,53.9353,139.9242,30.38,60,83,15.9,broken clouds
520,Brejo Santo,BR,-7.4933,-38.9872,82.63,62,24,3.6,few clouds
521,Fairbanks,US,64.8378,-147.7164,34.83,92,100,5.75,light snow
522,Preveza,GR,38.95,20.75,62.51,67,0,9.22,clear sky
523,Sorland,NO,67.667,12.6934,42.66,75,98,12.15,overcast clouds
524,Palmer,US,42.1584,-72.3287,44.67,88,0,0.0,clear sky
525,Takhatgarh,IN,25.3333,73.0,87.39,31,0,0.51,clear sky
526,Pouembout,NC,-21.1333,164.9,77.81,61,99,7.2,overcast clouds
527,Bilma,NE,18.6853,12.9164,68.47,29,2,9.31,clear sky
528,Totness,SR,5.8833,-56.3167,79.45,84,93,9.04,overcast clouds
529,Mountain Home,US,43.133,-115.6912,53.08,32,0,0.0,clear sky
530,Taoudenni,ML,22.6783,-3.9836,77.27,20,17,12.15,few clouds
531,Sajanan,TN,37.0573,9.2426,59.92,65,1,6.15,clear sky
532,Katsuura,JP,35.1333,140.3,69.48,58,3,12.88,clear sky
533,Dubai,AE,25.2582,55.3047,80.53,83,0,4.61,haze
534,Socorro,US,31.6546,-106.3033,65.48,39,0,0.0,clear sky
535,Russell,US,32.3502,-85.1999,45.63,93,0,0.0,clear sky
536,Lobito,AO,-12.3481,13.5456,72.9,89,100,6.73,overcast clouds
537,Mae Hong Son,TH,19.3003,97.9685,82.54,65,20,3.44,few clouds
538,Mouila,GA,-1.8685,11.0559,72.54,99,100,1.77,light rain
539,Sapele,NG,5.8941,5.6767,75.04,93,99,1.74,overcast clouds
540,Hervey Bay,AU,-25.2986,152.8535,72.28,85,24,15.88,light rain
541,Umm Lajj,SA,25.0213,37.2685,82.53,52,2,1.36,clear sky
542,Creel,MX,27.75,-107.6333,50.86,63,7,3.51,clear sky
543,Mbeya,TZ,-8.9,33.45,64.63,52,92,5.32,overcast clouds
544,Hit,IQ,33.6416,42.8251,76.39,37,55,7.47,broken clouds
545,Te Anau,NZ,-45.4167,167.7167,53.19,47,20,3.02,few clouds
546,Kinablangan,PH,7.6947,126.5503,85.69,68,92,5.37,overcast clouds
547,Altamira,BR,-3.2033,-52.2064,77.49,78,76,2.77,broken clouds
548,Tral,IN,33.9333,75.1,53.29,61,44,3.89,scattered clouds
549,Prince Rupert,CA,54.3161,-130.3201,47.89,92,100,14.97,overcast clouds
550,Panguna,PG,-6.3164,155.4848,75.22,88,85,2.51,moderate rain
551,Pingdingshan,CN,33.7385,113.3012,76.24,22,0,4.47,clear sky
552,Bahia Honda,CU,22.9036,-83.1592,69.94,71,15,9.55,few clouds
553,Giyon,ET,8.5333,37.9833,59.7,70,25,7.99,scattered clouds
554,Qasigiannguit,GL,68.8193,-51.1922,21.45,78,100,3.31,overcast clouds
555,Hualmay,PE,-11.0964,-77.6139,59.76,87,33,8.37,scattered clouds
556,Marawi,PH,7.9986,124.2928,78.69,81,100,3.69,overcast clouds
557,Bara,NG,10.3744,10.7288,72.28,44,91,2.3,overcast clouds
558,Vanimo,PG,-2.6741,141.3028,83.95,72,94,6.22,overcast clouds
559,Inhambane,MZ,-23.865,35.3833,76.98,70,8,6.55,clear sky
560,Dudinka,RU,69.4058,86.1778,36.63,98,100,14.88,light rain
561,Kaseda,JP,31.4167,130.3167,76.32,59,35,11.68,scattered clouds
562,Narsaq,GL,60.9167,-46.05,32.22,71,100,9.51,overcast clouds
563,Vostok,RU,46.4856,135.8833,49.66,59,100,2.71,light rain
564,Fereydunshahr,IR,32.941,50.121,53.42,31,96,2.68,overcast clouds
565,Laguna,US,38.421,-121.4238,73.09,57,0,5.75,clear sky
566,Kristiinankaupunki,FI,62.2743,21.376,43.45,82,72,4.41,broken clouds
567,Inzhavino,RU,52.3185,42.4937,37.83,76,67,14.85,broken clouds
568,Sinnamary,GF,5.3833,-52.95,78.58,85,93,7.65,overcast clouds
569,Akyab,MM,20.15,92.9,86.32,62,2,1.77,clear sky
570,Vegreville,CA,53.5001,-112.0518,41.7,56,23,8.05,few clouds
571,Morro Bay,US,35.3658,-120.8499,74.28,71,48,0.43,scattered clouds
572,Pacific Grove,US,36.6177,-121.9166,56.88,93,100,4.61,overcast clouds
573,Zhanaozen,KZ,43.3,52.8,57.88,78,12,10.69,few clouds
574,Zainsk,RU,55.3195,52.0694,32.85,81,7,6.02,clear sky
575,Kletskaya,RU,49.3145,43.0584,45.54,78,100,3.58,overcast clouds
576,Mayo,US,38.8876,-76.5119,51.94,79,0,1.01,clear sky
577,Toucheng,TW,24.8592,121.8233,80.64,78,77,7.99,broken clouds
578,Ocean City,US,39.2776,-74.5746,57.97,79,0,5.01,clear sky
579,Soe,ID,-9.8607,124.284,86.92,42,37,6.85,scattered clouds
580,Tamiahua,MX,21.2667,-97.45,68.45,78,52,2.42,broken clouds
581,Suntar,RU,62.1444,117.6319,30.67,80,97,7.18,overcast clouds
582,Cayenne,GF,4.9333,-52.3333,75.24,94,93,0.0,overcast clouds
583,Necochea,AR,-38.5473,-58.7368,50.61,84,20,6.87,few clouds
584,Barcelona,ES,41.3888,2.159,73.54,73,20,4.61,few clouds
585,Yar-Sale,RU,66.8333,70.8333,32.86,94,100,15.08,light snow
586,Barranca,PE,-10.75,-77.7667,58.69,89,49,5.88,scattered clouds
587,Tomra,NO,62.5833,6.9333,42.78,51,1,5.66,clear sky
588,Roebourne,AU,-20.7833,117.1333,90.66,39,2,18.23,clear sky
589,Sisimiut,GL,66.9395,-53.6735,31.77,85,100,10.87,snow
590,Manakara,MG,-22.1333,48.0167,76.37,63,44,7.9,scattered clouds
591,Madimba,TZ,-10.4,40.3333,70.92,94,20,11.5,few clouds
592,Jibuti,DJ,11.5,42.5,77.45,64,4,17.25,clear sky
593,Petropavlovsk-Kamchatskiy,RU,53.0452,158.6483,41.59,42,75,11.18,broken clouds
594,Namibe,AO,-15.1961,12.1522,65.14,88,30,5.17,scattered clouds
595,Alamosa,US,37.4695,-105.87,42.78,39,0,6.91,clear sky
596,Novyy Karachay,RU,43.8208,41.9032,42.01,85,78,2.71,broken clouds
597,Batagay,RU,67.6333,134.6333,9.1,93,65,1.5,broken clouds
598,Shenjiamen,CN,29.9576,122.298,71.17,68,98,8.32,overcast clouds
599,Lenina,RU,46.0667,39.7833,49.1,74,92,13.65,overcast clouds
600,Luderitz,NA,-26.6481,15.1594,59.81,80,81,19.26,broken clouds
601,Ban Phai,TH,16.06,102.731,82.62,61,58,8.59,broken clouds
602,Phon,TH,15.816,102.5998,89.06,60,26,9.31,scattered clouds
603,Obihiro,JP,42.9172,143.2044,67.41,55,87,2.39,overcast clouds
604,Gobabis,NA,-22.45,18.9667,69.69,42,54,8.79,broken clouds
605,San Ignacio,BZ,17.1561,-89.0714,71.67,99,99,3.44,light rain
606,San Jose,US,37.3394,-121.895,66.2,75,0,6.91,clear sky
607,Jining,CN,35.405,116.5814,72.9,40,39,6.33,scattered clouds
608,Ubinskoye,RU,55.3068,79.6802,41.74,85,100,8.97,overcast clouds
609,Pukhrayan,IN,26.2333,79.85,82.69,44,0,3.06,clear sky
610,Calipan,MX,18.2958,-97.1667,62.26,92,100,3.0,overcast clouds
611,Dongsheng,CN,39.8161,109.9776,60.22,20,0,20.49,clear sky
612,Vestmanna,FO,62.1564,-7.1664,47.32,87,100,17.27,overcast clouds
613,Sol-Iletsk,RU,51.1631,54.9918,54.32,57,100,2.37,overcast clouds
614,Balikpapan,ID,-1.2675,116.8289,83.39,84,40,3.44,scattered clouds
615,Keti Bandar,PK,24.1447,67.4497,84.88,44,0,3.02,clear sky
616,Kunya,NG,12.2233,8.5325,72.5,28,90,7.14,overcast clouds
617,Ponta Delgada,PT,37.7333,-25.6667,61.5,77,20,6.91,few clouds
618,Dickinson,US,29.4608,-95.0513,68.13,72,0,10.36,clear sky
619,Santa Marta,CO,11.2408,-74.199,82.45,78,40,6.91,scattered clouds
620,Bauska,LV,56.4075,24.1906,38.1,88,68,5.61,broken clouds
621,Verkh-Usugli,RU,52.7,115.1667,40.75,34,56,2.3,broken clouds
622,Onalaska,US,43.8844,-91.2351,48.25,70,0,8.05,clear sky
623,Iquique,CL,-20.2208,-70.1431,60.84,68,40,1.63,scattered clouds
624,Katobu,ID,-4.9408,122.5276,93.85,45,100,1.1,overcast clouds
625,Meteti,PA,8.4983,-77.9786,73.13,99,100,2.46,overcast clouds
626,Fez,MA,34.0372,-4.9998,66.45,52,0,6.91,clear sky
627,Makaleng,BW,-20.9,27.2833,70.61,42,0,11.25,clear sky
628,Meulaboh,ID,4.1363,96.1285,75.24,93,100,6.51,overcast clouds
629,Kirillov,RU,59.863,38.3813,36.1,85,100,6.2,overcast clouds
630,Aitape,PG,-3.1374,142.3475,83.35,77,77,4.81,light rain
631,Olovyannaya,RU,50.95,115.5667,44.46,34,27,7.0,scattered clouds
632,Ahipara,NZ,-35.1667,173.1667,60.4,66,16,9.37,few clouds
633,Port Moresby,PG,-9.4431,147.1797,89.02,62,40,11.5,haze
634,Calamar,CO,10.2511,-74.9146,75.65,91,100,1.16,light rain
635,Serowe,BW,-22.3833,26.7167,68.52,45,0,9.75,clear sky
636,Sao Jose Da Coroa Grande,BR,-8.8978,-35.1478,73.78,81,1,6.2,clear sky
637,Natal,BR,-5.795,-35.2094,75.42,73,20,11.5,few clouds
638,Naze,JP,28.3667,129.4833,79.72,72,22,18.39,few clouds
639,Lhokseumawe,ID,5.1801,97.1507,81.79,76,91,3.04,overcast clouds
640,Mhlume,SZ,-26.0333,31.85,72.45,78,58,4.16,broken clouds
641,Phan Thiet,VN,10.9333,108.1,86.41,61,89,9.53,overcast clouds
642,Elliot Lake,CA,46.3834,-82.6331,35.19,86,100,6.58,overcast clouds
643,Batemans Bay,AU,-35.7167,150.1833,66.09,97,100,6.55,moderate rain
644,Luwuk,ID,-0.9516,122.7875,88.34,60,71,3.71,broken clouds
645,Tabory,RU,58.5198,64.5495,36.28,70,83,10.29,broken clouds
646,Saint-Joseph,RE,-21.3667,55.6167,73.78,71,32,8.68,scattered clouds
647,Bonthe,SL,7.5264,-12.505,76.15,87,58,2.15,broken clouds
648,Koumac,NC,-20.5667,164.2833,78.46,63,97,4.05,overcast clouds
649,Hobyo,SO,5.3505,48.5268,80.44,77,32,13.15,scattered clouds
650,Cruz Alta,BR,-28.6386,-53.6064,60.49,96,99,8.23,overcast clouds
651,Tual,ID,-5.6667,132.75,84.25,71,79,5.91,broken clouds
652,Belmonte,BR,-15.8631,-38.8828,73.15,84,52,5.93,broken clouds
653,Gondanglegi,ID,-7.7479,112.0132,88.11,63,100,3.27,overcast clouds
654,Itarema,BR,-2.9248,-39.9167,77.85,83,83,14.47,broken clouds
655,Ust-Maya,RU,60.4167,134.5333,20.98,74,100,6.67,overcast clouds
656,Liku,ID,-0.7275,119.8922,87.3,65,48,3.2,scattered clouds
657,Dolinsk,RU,47.35,142.8,53.2,48,68,10.07,broken clouds
658,San Carlos De Bariloche,AR,-41.1456,-71.3082,37.02,73,40,3.44,scattered clouds
659,Marystown,CA,47.1666,-55.1483,54.99,90,99,16.82,overcast clouds
660,Sao Joao Da Barra,BR,-21.6403,-41.0511,73.18,86,50,22.97,scattered clouds
661,Bud,US,39.447,-86.1758,48.15,57,8,9.8,clear sky
662,Pekalongan,ID,-6.8886,109.6753,83.91,73,100,3.89,overcast clouds
663,Armacao De Pera,PT,37.1026,-8.357,67.91,93,99,7.29,overcast clouds
664,Inirida,CO,3.8653,-67.9239,73.2,97,100,1.39,moderate rain
665,Fukue,JP,32.6881,128.8419,73.76,64,75,6.91,broken clouds
666,Spearfish,US,44.4908,-103.8594,62.89,16,0,4.61,clear sky
667,Kharela,IN,25.55,79.8167,82.22,41,0,3.78,clear sky
668,Carlsbad,US,33.1581,-117.3506,74.62,88,75,3.44,mist
669,Merzifon,TR,40.8733,35.4631,42.26,61,40,8.05,scattered clouds
670,Roma,US,43.2128,-75.4557,42.87,73,100,3.44,overcast clouds
671,Chapeco,BR,-27.0964,-52.6183,56.89,99,83,0.89,broken clouds
672,Santa Cruz,BO,-17.8,-63.1667,72.86,83,75,6.91,thunderstorm with light rain
673,Budogoshch,RU,59.2816,32.4707,35.87,98,88,3.38,overcast clouds
674,Namatanai,PG,-3.6667,152.4333,85.3,65,99,3.44,light rain
675,Inta,RU,66.0317,60.1659,30.7,98,100,16.17,snow
676,Ukiah,US,39.1502,-123.2078,72.64,50,0,1.01,clear sky
677,Kasempa,ZM,-13.4584,25.8338,71.31,47,82,9.24,broken clouds
678,Williston,US,48.147,-103.618,56.32,51,100,7.0,overcast clouds
679,Molina,CL,-35.1167,-71.2833,56.93,72,93,5.75,overcast clouds
680,Kaeo,NZ,-35.1,173.7833,66.33,69,68,3.22,broken clouds
